# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
3819.44  0.53   0.73
3820.32  0.38   0.70
3821.20  0.42   0.73
3822.08  0.63   0.74
3822.96  0.80   0.75
3823.84  0.81   0.77
3824.72  0.47   0.72
3825.60  0.10   0.69
3826.48  -0.21  0.67
3827.37  -0.37  0.68
3828.25  -0.11  0.72
3829.13  0.24   0.75
3830.01  0.19   0.78
3830.89  -0.25  0.83
3831.77  -0.60  0.87
3832.66  -0.68  0.86
3833.54  -0.54  0.85
3834.42  -0.56  0.87
3835.31  -1.00  0.84
3836.19  -1.19  0.77
3837.07  -0.97  0.73
3837.96  -0.88  0.70
3838.84  -0.85  0.69
3839.72  -0.69  0.68
3840.61  -0.34  0.67
3841.49  -0.29  0.69
3842.38  -0.63  0.66
3843.26  -0.65  0.66
3844.15  -0.29  0.66
3845.03  -0.02  0.66
3845.92  0.17   0.68
3846.80  0.52   0.70
3847.69  0.65   0.70
3848.58  0.24   0.67
3849.46  -0.29  0.63
3850.35  -0.41  0.65
3851.23  -0.43  0.66
3852.12  -0.94  0.64
3853.01  -1.50  0.59
3853.90  -1.14  0.61
3854.78  -0.36  0.64
3855.67  -0.17  0.64
3856.56  -0.50  0.61
3857.45  -0.64  0.60
3858.34  -0.39  0.59
3859.22  -0.07  0.57
3860.11  0.64   0.58
3861.00  1.43   0.63
3861.89  1.27   0.65
3862.78  0.57   0.63
3863.67  0.07   0.63
3864.56  -0.15  0.62
3865.45  -0.10  0.61
3866.34  0.10   0.60
3867.23  0.08   0.59
3868.12  -0.10  0.58
3869.01  -0.23  0.59
3869.90  -0.31  0.57
3870.79  -0.40  0.57
3871.68  -0.55  0.54
3872.58  -0.41  0.57
3873.47  -0.24  0.57
3874.36  -0.29  0.59
3875.25  -0.47  0.58
3876.14  -0.49  0.57
3877.04  -0.09  0.58
3877.93  0.40   0.58
3878.82  0.72   0.57
3879.72  1.08   0.58
3880.61  0.94   0.58
3881.50  0.14   0.55
3882.40  -0.22  0.53
3883.29  0.12   0.57
3884.19  0.35   0.58
3885.08  0.40   0.57
3885.98  0.31   0.57
3886.87  0.25   0.55
3887.76  0.33   0.57
3888.66  0.42   0.57
3889.56  0.49   0.58
3890.45  0.27   0.58
3891.35  -0.22  0.56
3892.24  -0.35  0.56
3893.14  -0.19  0.57
3894.04  -0.09  0.57
3894.93  0.12   0.57
3895.83  0.33   0.58
3896.73  0.28   0.57
3897.62  0.08   0.56
3898.52  -0.07  0.56
3899.42  -0.27  0.55
3900.32  -0.48  0.55
3901.22  -0.61  0.56
3902.11  -0.65  0.56
3903.01  -0.72  0.57
3903.91  -0.78  0.56
3904.81  -0.56  0.58
3905.71  -0.17  0.61
3906.61  0.32   0.63
3907.51  0.60   0.65
3908.41  0.80   0.64
3909.31  1.23   0.66
3910.21  1.47   0.66
3911.11  1.35   0.67
3912.01  0.88   0.66
3912.91  0.23   0.65
3913.81  -0.30  0.65
3914.71  -0.47  0.64
3915.62  -0.33  0.62
3916.52  -0.00  0.61
3917.42  0.28   0.60
3918.32  0.30   0.59
3919.22  0.13   0.58
3920.13  -0.09  0.57
3921.03  -0.16  0.56
3921.93  -0.05  0.55
3922.83  0.14   0.55
3923.74  0.26   0.55
3924.64  0.39   0.55
3925.55  0.55   0.55
3926.45  0.60   0.55
3927.35  0.44   0.53
3928.26  0.17   0.52
3929.16  -0.04  0.51
3930.07  0.04   0.51
3930.97  0.42   0.52
3931.88  0.59   0.53
3932.78  0.26   0.52
3933.69  -0.18  0.51
3934.59  -0.38  0.52
3935.50  -0.50  0.50
3936.41  -0.50  0.50
3937.31  -0.40  0.50
3938.22  -0.36  0.49
3939.13  -0.27  0.50
3940.03  -0.41  0.53
3940.94  -1.10  0.53
3941.85  -1.78  0.52
3942.76  -1.71  0.52
3943.66  -0.97  0.54
3944.57  -0.50  0.55
3945.48  -0.44  0.53
3946.39  -0.11  0.54
3947.30  0.39   0.55
3948.21  0.66   0.54
3949.12  0.80   0.55
3950.03  0.75   0.54
3950.94  0.50   0.55
3951.85  0.38   0.54
3952.76  0.39   0.55
3953.67  0.23   0.54
3954.58  0.05   0.53
3955.49  0.09   0.54
3956.40  0.18   0.55
3957.31  0.15   0.54
3958.22  0.06   0.55
3959.13  -0.10  0.53
3960.04  -0.14  0.54
3960.96  -0.04  0.56
3961.87  0.15   0.56
3962.78  0.61   0.56
3963.69  0.92   0.57
3964.61  0.61   0.53
3965.52  0.25   0.51
3966.43  0.13   0.52
3967.35  -0.00  0.52
3968.26  -0.05  0.51
3969.17  0.07   0.50
3970.09  0.29   0.51
3971.00  0.46   0.50
3971.92  0.50   0.52
3972.83  0.15   0.52
3973.75  -0.42  0.51
3974.66  -0.60  0.52
3975.58  -0.37  0.54
3976.49  -0.04  0.55
3977.41  0.15   0.56
3978.32  0.14   0.56
3979.24  0.02   0.55
3980.16  -0.13  0.55
3981.07  -0.27  0.56
3981.99  -0.51  0.54
3982.91  -0.49  0.52
3983.82  -0.02  0.55
3984.74  0.39   0.56
3985.66  0.64   0.57
3986.58  0.55   0.55
3987.49  0.08   0.53
3988.41  -0.30  0.53
3989.33  -0.38  0.54
3990.25  -0.23  0.53
3991.17  0.32   0.54
3992.09  0.67   0.56
3993.01  0.15   0.53
3993.93  -0.59  0.51
3994.85  -0.73  0.52
3995.77  -0.64  0.51
3996.69  -0.49  0.51
3997.61  -0.14  0.51
3998.53  0.23   0.53
3999.45  0.43   0.53
4000.37  0.44   0.53
4001.29  0.22   0.53
4002.21  0.02   0.49
4003.13  0.04   0.51
4004.05  -0.05  0.50
4004.98  -0.03  0.51
4005.90  0.27   0.53
4006.82  0.43   0.54
4007.74  0.31   0.54
4008.67  0.31   0.57
4009.59  0.23   0.58
4010.51  -0.05  0.57
4011.44  -0.06  0.56
4012.36  0.12   0.58
4013.28  0.02   0.56
4014.21  -0.09  0.56
4015.13  -0.05  0.55
4016.06  -0.03  0.55
4016.98  0.09   0.54
4017.91  0.13   0.54
4018.83  0.02   0.54
4019.76  -0.03  0.55
4020.68  0.13   0.57
4021.61  0.29   0.58
4022.54  0.37   0.57
4023.46  0.40   0.58
4024.39  0.01   0.56
4025.32  -0.43  0.53
4026.24  -0.02  0.55
4027.17  0.55   0.55
4028.10  0.46   0.53
4029.03  0.13   0.53
4029.95  0.09   0.53
4030.88  0.17   0.53
4031.81  -0.01  0.52
4032.74  -0.35  0.49
4033.67  -0.22  0.50
4034.60  0.35   0.51
4035.52  0.63   0.52
4036.45  0.43   0.52
4037.38  0.17   0.50
4038.31  0.15   0.51
4039.24  0.12   0.51
4040.17  -0.12  0.50
4041.10  -0.19  0.50
4042.03  -0.01  0.52
4042.97  -0.09  0.52
4043.90  -0.43  0.52
4044.83  -0.55  0.52
4045.76  -0.19  0.55
4046.69  0.60   0.65
4047.62  1.34   0.70
4048.55  1.53   0.68
4049.49  1.11   0.59
4050.42  0.71   0.53
4051.35  0.84   0.53
4052.29  0.84   0.52
4053.22  0.44   0.50
4054.15  0.13   0.50
4055.09  0.24   0.50
4056.02  0.33   0.52
4056.95  0.14   0.49
4057.89  0.08   0.48
4058.82  0.31   0.48
4059.76  0.76   0.51
4060.69  0.91   0.53
4061.63  0.61   0.52
4062.56  0.42   0.51
4063.50  0.44   0.52
4064.43  0.62   0.54
4065.37  0.99   0.55
4066.31  1.01   0.56
4067.24  0.47   0.53
4068.18  0.04   0.52
4069.12  0.21   0.52
4070.05  0.52   0.54
4070.99  0.35   0.51
4071.93  -0.02  0.50
4072.86  -0.21  0.50
4073.80  -0.36  0.49
4074.74  -0.42  0.48
4075.68  -0.27  0.50
4076.62  -0.36  0.52
4077.56  -0.61  0.52
4078.50  -0.52  0.52
4079.43  -0.47  0.51
4080.37  -0.65  0.48
4081.31  -0.45  0.49
4082.25  0.13   0.50
4083.19  0.61   0.49
4084.13  0.76   0.48
4085.07  0.76   0.48
4086.02  0.99   0.48
4086.96  1.36   0.51
4087.90  1.40   0.51
4088.84  1.17   0.50
4089.78  1.03   0.49
4090.72  1.11   0.50
4091.66  1.05   0.50
4092.61  0.67   0.49
4093.55  0.40   0.49
4094.49  0.23   0.50
4095.43  0.01   0.48
4096.38  -0.18  0.48
4097.32  -0.18  0.48
4098.26  -0.11  0.49
4099.21  -0.06  0.48
4100.15  0.22   0.48
4101.10  0.61   0.51
4102.04  0.65   0.49
4102.99  0.41   0.48
4103.93  0.32   0.49
4104.88  0.44   0.47
4105.82  0.47   0.49
4106.77  0.19   0.47
4107.71  0.06   0.47
4108.66  0.23   0.50
4109.60  0.29   0.49
4110.55  0.20   0.49
4111.50  0.13   0.49
4112.44  0.11   0.48
4113.39  0.25   0.48
4114.34  0.44   0.49
4115.29  0.41   0.49
4116.23  0.20   0.50
4117.18  -0.20  0.48
4118.13  -0.52  0.46
4119.08  -0.23  0.47
4120.03  0.20   0.48
4120.98  0.44   0.48
4121.92  0.62   0.49
4122.87  0.44   0.49
4123.82  0.07   0.47
4124.77  -0.01  0.49
4125.72  -0.18  0.49
4126.67  -0.37  0.47
4127.62  -0.05  0.48
4128.57  0.38   0.49
4129.52  0.42   0.49
4130.48  0.31   0.49
4131.43  0.30   0.48
4132.38  0.34   0.49
4133.33  0.41   0.49
4134.28  0.61   0.50
4135.23  0.53   0.51
4136.19  -0.02  0.49
4137.14  -0.36  0.48
4138.09  -0.32  0.48
4139.04  -0.04  0.48
4140.00  0.25   0.49
4140.95  0.41   0.49
4141.90  0.39   0.49
4142.86  0.08   0.47
4143.81  -0.31  0.46
4144.77  -0.61  0.46
4145.72  -0.76  0.45
4146.67  -0.55  0.46
4147.63  -0.06  0.46
4148.59  0.24   0.46
4149.54  0.22   0.46
4150.50  0.19   0.46
4151.45  0.40   0.46
4152.41  0.66   0.48
4153.36  0.62   0.48
4154.32  0.40   0.48
4155.28  0.15   0.49
4156.23  -0.11  0.48
4157.19  -0.30  0.49
4158.15  -0.62  0.48
4159.11  -1.04  0.46
4160.06  -1.09  0.46
4161.02  -0.82  0.47
4161.98  -0.37  0.48
4162.94  0.30   0.49
4163.90  0.87   0.51
4164.86  0.66   0.52
4165.82  0.13   0.52
4166.77  -0.01  0.53
4167.73  -0.03  0.51
4168.69  0.05   0.51
4169.65  0.17   0.50
4170.61  0.06   0.50
4171.57  -0.01  0.49
4172.54  -0.04  0.49
4173.50  -0.12  0.49
4174.46  -0.19  0.48
4175.42  -0.20  0.47
4176.38  -0.15  0.47
4177.34  -0.22  0.48
4178.30  -0.42  0.47
4179.27  -0.37  0.47
4180.23  -0.01  0.48
4181.19  0.33   0.48
4182.15  0.53   0.47
4183.12  0.61   0.47
4184.08  0.71   0.46
4185.04  0.94   0.47
4186.01  1.07   0.48
4186.97  0.74   0.47
4187.94  0.25   0.45
4188.90  0.03   0.45
4189.86  -0.05  0.45
4190.83  -0.05  0.45
4191.79  0.05   0.45
4192.76  0.09   0.46
4193.73  -0.05  0.45
4194.69  -0.01  0.45
4195.66  0.32   0.45
4196.62  0.63   0.45
4197.59  0.76   0.46
4198.56  0.56   0.45
4199.52  0.09   0.43
4200.49  -0.22  0.43
4201.46  -0.13  0.43
4202.43  0.19   0.45
4203.39  0.50   0.44
4204.36  0.60   0.45
4205.33  0.48   0.45
4206.30  0.37   0.45
4207.27  0.62   0.47
4208.24  0.84   0.49
4209.20  0.46   0.48
4210.17  -0.33  0.46
4211.14  -0.82  0.43
4212.11  -0.68  0.44
4213.08  -0.49  0.44
4214.05  -0.53  0.44
4215.02  -0.70  0.43
4215.99  -0.96  0.42
4216.96  -1.05  0.43
4217.94  -0.87  0.44
4218.91  -0.43  0.43
4219.88  0.03   0.42
4220.85  0.25   0.41
4221.82  0.17   0.41
4222.79  0.04   0.40
4223.77  0.01   0.42
4224.74  -0.05  0.42
4225.71  0.03   0.42
4226.69  0.13   0.43
4227.66  0.02   0.41
4228.63  0.12   0.41
4229.61  0.24   0.42
4230.58  0.05   0.42
4231.56  -0.15  0.42
4232.53  -0.17  0.43
4233.50  -0.23  0.43
4234.48  -0.43  0.43
4235.45  -0.66  0.43
4236.43  -0.79  0.42
4237.41  -0.71  0.42
4238.38  -0.34  0.43
4239.36  0.22   0.44
4240.33  0.48   0.44
4241.31  0.37   0.43
4242.29  0.30   0.43
4243.26  0.25   0.44
4244.24  -0.01  0.43
4245.22  -0.27  0.42
4246.20  -0.34  0.44
4247.17  -0.41  0.46
4248.15  -0.60  0.46
4249.13  -0.73  0.44
4250.11  -0.48  0.44
4251.09  -0.16  0.43
4252.07  -0.03  0.43
4253.05  -0.06  0.44
4254.02  -0.08  0.43
4255.00  0.06   0.44
4255.98  0.21   0.44
4256.96  0.23   0.45
4257.94  0.18   0.44
4258.93  0.05   0.45
4259.91  -0.30  0.43
4260.89  -0.58  0.42
4261.87  -0.37  0.43
4262.85  -0.05  0.43
4263.83  0.12   0.43
4264.81  0.20   0.43
4265.80  0.13   0.44
4266.78  -0.19  0.44
4267.76  -0.53  0.43
4268.74  -0.45  0.43
4269.73  0.09   0.44
4270.71  0.27   0.45
4271.69  -0.28  0.42
4272.68  -0.60  0.42
4273.66  -0.33  0.43
4274.64  0.04   0.43
4275.63  0.41   0.44
4276.61  0.50   0.44
4277.60  0.17   0.43
4278.58  -0.06  0.43
4279.57  0.21   0.44
4280.55  0.58   0.45
4281.54  0.50   0.44
4282.53  0.38   0.44
4283.51  0.33   0.44
4284.50  0.11   0.44
4285.49  0.00   0.43
4286.47  0.05   0.43
4287.46  0.09   0.44
4288.45  0.02   0.43
4289.43  -0.13  0.42
4290.42  -0.31  0.41
4291.41  -0.50  0.41
4292.40  -0.59  0.41
4293.39  -0.25  0.42
4294.38  0.19   0.44
4295.36  0.25   0.43
4296.35  0.12   0.43
4297.34  0.01   0.43
4298.33  0.01   0.42
4299.32  0.27   0.43
4300.31  0.62   0.44
4301.30  0.67   0.43
4302.29  0.42   0.42
4303.28  0.13   0.41
4304.27  0.21   0.42
4305.27  0.54   0.43
4306.26  0.49   0.43
4307.25  0.13   0.42
4308.24  -0.14  0.43
4309.23  -0.23  0.43
4310.23  -0.01  0.43
4311.22  0.35   0.44
4312.21  0.53   0.44
4313.20  0.53   0.45
4314.20  0.23   0.46
4315.19  -0.28  0.45
4316.18  -0.51  0.46
4317.18  -0.44  0.44
4318.17  -0.26  0.45
4319.17  -0.07  0.44
4320.16  0.29   0.44
4321.16  0.45   0.46
4322.15  0.16   0.44
4323.15  0.09   0.43
4324.14  0.32   0.43
4325.14  0.48   0.42
4326.13  0.63   0.44
4327.13  0.54   0.44
4328.13  0.18   0.44
4329.12  -0.19  0.42
4330.12  -0.23  0.42
4331.12  0.08   0.42
4332.11  0.31   0.44
4333.11  0.40   0.44
4334.11  0.24   0.44
4335.11  -0.12  0.42
4336.11  -0.13  0.42
4337.11  0.21   0.43
4338.10  0.51   0.43
4339.10  0.71   0.44
4340.10  0.67   0.42
4341.10  0.66   0.43
4342.10  0.74   0.44
4343.10  0.55   0.44
4344.10  0.12   0.43
4345.10  -0.28  0.42
4346.10  -0.40  0.42
4347.10  -0.28  0.42
4348.10  0.16   0.43
4349.11  0.66   0.45
4350.11  0.73   0.44
4351.11  0.45   0.43
4352.11  0.17   0.42
4353.11  0.02   0.42
4354.12  -0.16  0.42
4355.12  -0.35  0.42
4356.12  -0.35  0.44
4357.13  -0.19  0.49
4358.13  0.24   0.64
4359.13  0.88   0.76
4360.14  1.19   0.76
4361.14  0.84   0.65
4362.14  0.37   0.52
