# Spectrum of AT2015cq in coordinate: 16:29:38.6 +40:14:10
# Produced from MaNGA data by Sun Luming on 2018/05/02
#wavelength  flux(1e-17erg/s/cm^2/A)  error
4569.83  -0.00  0.40
4570.88  0.12   0.39
4571.93  0.12   0.39
4572.99  0.22   0.39
4574.04  0.22   0.39
4575.09  0.04   0.39
4576.15  -0.06  0.39
4577.20  0.09   0.40
4578.26  0.29   0.40
4579.31  0.18   0.41
4580.36  -0.25  0.40
4581.42  -0.62  0.39
4582.47  -0.60  0.39
4583.53  -0.38  0.39
4584.58  -0.27  0.39
4585.64  -0.26  0.40
4586.70  -0.18  0.39
4587.75  0.07   0.40
4588.81  0.24   0.40
4589.87  0.25   0.41
4590.92  0.21   0.40
4591.98  0.11   0.39
4593.04  0.18   0.39
4594.10  0.31   0.40
4595.15  0.08   0.40
4596.21  -0.28  0.38
4597.27  -0.16  0.39
4598.33  0.07   0.39
4599.39  0.04   0.39
4600.45  -0.03  0.38
4601.51  -0.08  0.38
4602.57  -0.09  0.38
4603.63  0.04   0.39
4604.69  0.21   0.40
4605.75  0.23   0.39
4606.81  0.10   0.40
4607.87  -0.12  0.38
4608.93  -0.10  0.39
4609.99  0.22   0.39
4611.05  0.50   0.40
4612.11  0.57   0.40
4613.18  0.47   0.39
4614.24  0.31   0.38
4615.30  0.08   0.39
4616.36  -0.23  0.38
4617.43  -0.32  0.38
4618.49  -0.08  0.38
4619.55  0.23   0.39
4620.62  0.31   0.39
4621.68  0.20   0.38
4622.75  0.16   0.38
4623.81  0.24   0.39
4624.87  0.27   0.39
4625.94  0.13   0.39
4627.01  -0.09  0.38
4628.07  -0.18  0.38
4629.14  0.02   0.38
4630.20  0.36   0.39
4631.27  0.50   0.39
4632.34  0.44   0.39
4633.40  0.34   0.39
4634.47  0.16   0.38
4635.54  -0.06  0.38
4636.60  -0.21  0.38
4637.67  -0.21  0.38
4638.74  -0.01  0.38
4639.81  0.24   0.38
4640.88  0.25   0.38
4641.95  -0.03  0.38
4643.01  -0.39  0.37
4644.08  -0.58  0.37
4645.15  -0.56  0.36
4646.22  -0.28  0.37
4647.29  -0.01  0.37
4648.36  0.11   0.37
4649.43  0.04   0.37
4650.50  -0.17  0.36
4651.57  -0.08  0.37
4652.65  0.07   0.38
4653.72  -0.18  0.37
4654.79  -0.34  0.37
4655.86  -0.02  0.37
4656.93  0.50   0.39
4658.01  0.70   0.40
4659.08  0.46   0.40
4660.15  0.11   0.39
4661.22  0.04   0.39
4662.30  0.15   0.40
4663.37  0.08   0.39
4664.45  -0.21  0.39
4665.52  -0.27  0.38
4666.59  0.10   0.39
4667.67  0.41   0.40
4668.74  0.25   0.40
4669.82  -0.08  0.39
4670.89  -0.13  0.40
4671.97  -0.03  0.40
4673.05  -0.01  0.40
4674.12  -0.04  0.40
4675.20  -0.11  0.40
4676.27  -0.18  0.40
4677.35  -0.38  0.39
4678.43  -0.50  0.38
4679.51  -0.32  0.38
4680.58  -0.07  0.39
4681.66  0.07   0.39
4682.74  0.01   0.39
4683.82  -0.17  0.38
4684.90  -0.27  0.38
4685.98  -0.18  0.39
4687.05  -0.04  0.38
4688.13  0.12   0.38
4689.21  0.52   0.38
4690.29  0.91   0.40
4691.37  0.77   0.39
4692.45  0.34   0.38
4693.53  0.12   0.38
4694.62  0.07   0.38
4695.70  0.14   0.38
4696.78  0.25   0.39
4697.86  0.37   0.38
4698.94  0.42   0.38
4700.02  0.26   0.38
4701.11  0.06   0.37
4702.19  0.06   0.38
4703.27  0.08   0.38
4704.35  0.15   0.37
4705.44  0.29   0.39
4706.52  0.14   0.38
4707.60  -0.11  0.38
4708.69  -0.33  0.38
4709.77  -0.45  0.37
4710.86  -0.35  0.38
4711.94  -0.09  0.38
4713.03  0.19   0.38
4714.11  0.37   0.38
4715.20  0.43   0.38
4716.28  0.45   0.38
4717.37  0.55   0.39
4718.46  0.59   0.39
4719.54  0.45   0.39
4720.63  0.28   0.38
4721.72  0.16   0.38
4722.80  0.09   0.38
4723.89  0.07   0.38
4724.98  0.21   0.38
4726.07  0.23   0.39
4727.16  0.00   0.37
4728.25  -0.09  0.37
4729.33  0.02   0.38
4730.42  0.19   0.39
4731.51  0.32   0.39
4732.60  0.44   0.38
4733.69  0.48   0.39
4734.78  0.20   0.38
4735.87  -0.10  0.37
4736.96  0.06   0.38
4738.05  0.41   0.39
4739.15  0.57   0.40
4740.24  0.47   0.40
4741.33  0.30   0.39
4742.42  0.24   0.39
4743.51  0.26   0.40
4744.60  0.27   0.40
4745.70  0.33   0.40
4746.79  0.51   0.39
4747.88  0.66   0.39
4748.98  0.63   0.38
4750.07  0.37   0.38
4751.16  -0.07  0.37
4752.26  -0.22  0.36
4753.35  0.10   0.38
4754.45  0.50   0.38
4755.54  0.61   0.39
4756.64  0.53   0.37
4757.73  0.57   0.37
4758.83  0.74   0.37
4759.92  0.79   0.38
4761.02  0.58   0.38
4762.12  0.26   0.36
4763.21  0.20   0.36
4764.31  0.32   0.37
4765.41  0.18   0.37
4766.50  -0.07  0.35
4767.60  0.04   0.35
4768.70  0.40   0.37
4769.80  0.62   0.36
4770.90  0.75   0.37
4772.00  0.75   0.37
4773.09  0.64   0.37
4774.19  0.67   0.37
4775.29  0.61   0.37
4776.39  0.44   0.37
4777.49  0.22   0.37
4778.59  -0.05  0.37
4779.69  -0.20  0.36
4780.79  -0.17  0.36
4781.89  -0.01  0.36
4783.00  0.11   0.36
4784.10  0.10   0.36
4785.20  0.20   0.36
4786.30  0.24   0.37
4787.40  0.19   0.36
4788.51  0.22   0.37
4789.61  0.30   0.36
4790.71  0.66   0.37
4791.81  0.99   0.38
4792.92  0.82   0.37
4794.02  0.41   0.37
4795.13  -0.12  0.36
4796.23  -0.28  0.35
4797.33  0.03   0.37
4798.44  0.10   0.37
4799.54  0.04   0.36
4800.65  0.33   0.37
4801.75  0.64   0.37
4802.86  0.62   0.37
4803.97  0.57   0.36
4805.07  0.63   0.37
4806.18  0.59   0.37
4807.29  0.46   0.36
4808.39  0.30   0.37
4809.50  0.09   0.36
4810.61  -0.02  0.36
4811.72  -0.02  0.36
4812.82  -0.01  0.37
4813.93  0.04   0.36
4815.04  0.22   0.37
4816.15  0.49   0.38
4817.26  0.62   0.38
4818.37  0.61   0.39
4819.48  0.56   0.39
4820.59  0.49   0.39
4821.70  0.48   0.39
4822.81  0.47   0.39
4823.92  0.29   0.38
4825.03  0.21   0.37
4826.14  0.44   0.38
4827.25  0.69   0.38
4828.36  0.79   0.39
4829.48  0.75   0.39
4830.59  0.70   0.38
4831.70  0.60   0.38
4832.81  0.36   0.38
4833.93  0.15   0.38
4835.04  0.09   0.38
4836.15  0.06   0.38
4837.27  0.03   0.37
4838.38  0.17   0.37
4839.49  0.27   0.38
4840.61  0.30   0.38
4841.72  0.34   0.38
4842.84  0.33   0.38
4843.95  0.44   0.37
4845.07  0.52   0.38
4846.18  0.39   0.37
4847.30  0.22   0.37
4848.42  0.23   0.37
4849.53  0.35   0.37
4850.65  0.44   0.37
4851.77  0.45   0.37
4852.88  0.52   0.37
4854.00  0.64   0.38
4855.12  0.66   0.37
4856.24  0.62   0.36
4857.36  0.57   0.37
4858.48  0.41   0.36
4859.59  0.29   0.36
4860.71  0.30   0.37
4861.83  0.44   0.38
4862.95  0.50   0.39
4864.07  0.32   0.36
4865.19  0.25   0.36
4866.31  0.22   0.36
4867.43  0.17   0.35
4868.55  0.35   0.36
4869.68  0.43   0.36
4870.80  0.26   0.36
4871.92  0.03   0.35
4873.04  -0.11  0.35
4874.16  0.01   0.35
4875.28  0.28   0.36
4876.41  0.36   0.36
4877.53  0.31   0.36
4878.65  0.39   0.36
4879.78  0.34   0.37
4880.90  0.11   0.37
4882.02  0.11   0.36
4883.15  0.22   0.37
4884.27  0.24   0.36
4885.40  0.32   0.37
4886.52  0.36   0.37
4887.65  0.20   0.36
4888.77  -0.02  0.36
4889.90  -0.21  0.35
4891.03  -0.12  0.35
4892.15  0.12   0.36
4893.28  0.08   0.36
4894.41  -0.03  0.35
4895.53  -0.02  0.36
4896.66  -0.03  0.36
4897.79  -0.06  0.36
4898.92  -0.09  0.35
4900.04  -0.14  0.36
4901.17  -0.27  0.34
4902.30  -0.31  0.34
4903.43  -0.01  0.35
4904.56  0.42   0.35
4905.69  0.67   0.37
4906.82  0.72   0.37
4907.95  0.56   0.36
4909.08  0.29   0.35
4910.21  0.15   0.35
4911.34  0.15   0.35
4912.47  0.01   0.35
4913.60  -0.14  0.34
4914.73  -0.04  0.35
4915.87  0.13   0.35
4917.00  0.29   0.35
4918.13  0.44   0.35
4919.26  0.51   0.36
4920.40  0.46   0.35
4921.53  0.20   0.34
4922.66  0.02   0.34
4923.80  0.02   0.35
4924.93  -0.05  0.35
4926.06  -0.06  0.34
4927.20  0.10   0.35
4928.33  0.15   0.34
4929.47  0.06   0.35
4930.60  0.14   0.35
4931.74  0.42   0.35
4932.87  0.66   0.36
4934.01  0.35   0.36
4935.15  -0.23  0.34
4936.28  -0.25  0.35
4937.42  0.04   0.36
4938.56  0.18   0.35
4939.69  0.27   0.36
4940.83  0.25   0.35
4941.97  0.17   0.35
4943.11  0.13   0.35
4944.24  0.07   0.35
4945.38  -0.01  0.35
4946.52  -0.11  0.34
4947.66  -0.26  0.34
4948.80  -0.21  0.34
4949.94  0.02   0.35
4951.08  0.25   0.35
4952.22  0.51   0.36
4953.36  0.54   0.36
4954.50  0.38   0.36
4955.64  0.33   0.36
4956.78  0.24   0.35
4957.93  0.07   0.35
4959.07  -0.03  0.35
4960.21  -0.14  0.35
4961.35  -0.15  0.35
4962.49  0.17   0.35
4963.64  0.58   0.36
4964.78  0.69   0.37
4965.92  0.49   0.36
4967.07  0.24   0.36
4968.21  0.14   0.36
4969.36  0.14   0.36
4970.50  0.06   0.36
4971.64  -0.09  0.36
4972.79  -0.20  0.36
4973.93  -0.22  0.36
4975.08  -0.10  0.37
4976.23  0.13   0.37
4977.37  0.38   0.38
4978.52  0.49   0.38
4979.66  0.53   0.38
4980.81  0.64   0.39
4981.96  0.56   0.39
4983.10  0.32   0.38
4984.25  0.32   0.39
4985.40  0.30   0.39
4986.55  -0.01  0.38
4987.70  -0.23  0.37
4988.84  -0.07  0.38
4989.99  0.01   0.37
4991.14  -0.12  0.37
4992.29  -0.34  0.37
4993.44  -0.52  0.36
4994.59  -0.52  0.36
4995.74  -0.53  0.36
4996.89  -0.67  0.35
4998.04  -0.66  0.37
4999.19  -0.56  0.39
5000.35  -0.52  0.39
5001.50  -0.18  0.35
5002.65  0.52   0.35
5003.80  1.01   0.34
5004.95  1.10   0.34
5006.11  0.85   0.34
5007.26  0.38   0.34
5008.41  0.00   0.33
5009.56  -0.09  0.34
5010.72  0.00   0.33
5011.87  0.34   0.34
5013.03  0.65   0.35
5014.18  0.62   0.34
5015.34  0.45   0.34
5016.49  0.35   0.34
5017.65  0.38   0.34
5018.80  0.46   0.35
5019.96  0.45   0.35
5021.11  0.38   0.35
5022.27  0.28   0.35
5023.43  0.10   0.34
5024.58  -0.08  0.34
5025.74  -0.14  0.34
5026.90  -0.09  0.33
5028.05  -0.02  0.33
5029.21  0.05   0.34
5030.37  0.07   0.33
5031.53  0.21   0.34
5032.69  0.45   0.35
5033.85  0.64   0.34
5035.01  0.80   0.35
5036.17  0.73   0.34
5037.33  0.37   0.34
5038.49  0.05   0.34
5039.65  -0.02  0.34
5040.81  0.20   0.34
5041.97  0.52   0.34
5043.13  0.59   0.34
5044.29  0.33   0.34
5045.45  0.11   0.33
5046.61  0.18   0.34
5047.77  0.26   0.34
5048.94  0.23   0.34
5050.10  0.27   0.34
5051.26  0.50   0.34
5052.43  0.69   0.35
5053.59  0.54   0.34
5054.75  0.23   0.34
5055.92  0.12   0.34
5057.08  0.10   0.34
5058.25  0.04   0.34
5059.41  0.09   0.34
5060.58  0.07   0.34
5061.74  -0.01  0.33
5062.91  0.15   0.34
5064.07  0.50   0.35
5065.24  0.76   0.35
5066.41  0.78   0.35
5067.57  0.64   0.35
5068.74  0.53   0.34
5069.91  0.47   0.35
5071.07  0.34   0.35
5072.24  0.10   0.35
5073.41  -0.23  0.34
5074.58  -0.25  0.33
5075.75  0.10   0.34
5076.92  0.16   0.34
5078.09  -0.13  0.33
5079.25  -0.19  0.33
5080.42  0.11   0.34
5081.59  0.36   0.35
5082.76  0.41   0.36
5083.94  0.46   0.37
5085.11  0.63   0.37
5086.28  0.75   0.38
5087.45  0.62   0.38
5088.62  0.55   0.37
5089.79  0.72   0.37
5090.96  0.71   0.36
5092.14  0.39   0.35
5093.31  0.22   0.35
5094.48  0.19   0.35
5095.65  0.03   0.34
5096.83  -0.16  0.34
5098.00  -0.39  0.34
5099.18  -0.52  0.34
5100.35  -0.19  0.35
5101.52  0.41   0.35
5102.70  0.76   0.35
5103.87  0.63   0.35
5105.05  0.19   0.33
5106.23  -0.11  0.33
5107.40  -0.23  0.33
5108.58  -0.25  0.33
5109.75  -0.15  0.33
5110.93  0.01   0.33
5112.11  0.27   0.34
5113.28  0.46   0.34
5114.46  0.51   0.34
5115.64  0.52   0.34
5116.82  0.38   0.34
5118.00  0.21   0.34
5119.18  0.18   0.34
5120.35  0.10   0.34
5121.53  -0.08  0.33
5122.71  -0.25  0.33
5123.89  -0.44  0.33
5125.07  -0.54  0.31
5126.25  -0.22  0.32
5127.43  0.35   0.33
5128.61  0.61   0.33
5129.79  0.53   0.32
5130.98  0.54   0.33
5132.16  0.57   0.34
5133.34  0.52   0.34
5134.52  0.54   0.34
5135.70  0.61   0.35
5136.89  0.57   0.34
5138.07  0.49   0.34
5139.25  0.45   0.34
5140.44  0.37   0.34
5141.62  0.21   0.34
5142.80  0.02   0.34
5143.99  -0.21  0.34
5145.17  -0.39  0.32
5146.36  -0.18  0.33
5147.54  0.18   0.34
5148.73  0.51   0.36
5149.91  0.84   0.37
5151.10  0.94   0.36
5152.29  0.78   0.35
5153.47  0.55   0.35
5154.66  0.38   0.35
5155.85  0.24   0.35
5157.03  0.13   0.34
5158.22  0.16   0.34
5159.41  0.25   0.34
5160.60  0.39   0.33
5161.79  0.54   0.34
5162.97  0.43   0.33
5164.16  0.31   0.33
5165.35  0.50   0.34
5166.54  0.71   0.33
5167.73  0.90   0.33
5168.92  0.99   0.34
5170.11  0.73   0.33
5171.30  0.40   0.33
5172.49  0.43   0.32
5173.69  0.66   0.33
5174.88  0.59   0.33
5176.07  0.42   0.33
5177.26  0.27   0.34
5178.45  -0.05  0.33
5179.65  -0.24  0.32
5180.84  -0.06  0.33
5182.03  0.07   0.33
5183.22  0.01   0.32
5184.42  0.06   0.32
5185.61  0.18   0.32
5186.81  0.35   0.32
5188.00  0.75   0.34
5189.20  1.00   0.36
5190.39  0.78   0.35
5191.59  0.39   0.34
5192.78  0.18   0.34
5193.98  0.06   0.33
5195.17  0.03   0.33
5196.37  0.15   0.33
5197.57  0.22   0.34
5198.76  0.38   0.36
5199.96  0.68   0.38
5201.16  0.71   0.37
5202.35  0.53   0.36
5203.55  0.44   0.36
5204.75  0.30   0.35
5205.95  0.09   0.34
5207.15  -0.07  0.33
5208.35  -0.21  0.33
5209.55  -0.23  0.33
5210.75  -0.11  0.33
5211.95  0.10   0.34
5213.15  0.27   0.34
5214.35  0.36   0.33
5215.55  0.49   0.33
5216.75  0.58   0.33
5217.95  0.52   0.34
5219.15  0.44   0.34
5220.35  0.33   0.34
5221.56  0.00   0.34
5222.76  -0.34  0.33
5223.96  -0.42  0.34
5225.16  -0.38  0.34
5226.37  -0.28  0.34
5227.57  -0.18  0.32
5228.78  -0.15  0.32
5229.98  -0.12  0.32
5231.18  -0.07  0.32
5232.39  -0.06  0.33
5233.59  -0.04  0.33
5234.80  0.11   0.33
5236.00  0.26   0.33
5237.21  0.38   0.33
5238.42  0.48   0.35
5239.62  0.36   0.36
5240.83  0.18   0.35
5242.04  0.04   0.34
5243.24  -0.18  0.33
5244.45  -0.33  0.32
5245.66  -0.23  0.32
5246.87  -0.07  0.32
5248.07  0.04   0.32
5249.28  0.07   0.33
5250.49  0.04   0.33
5251.70  0.13   0.33
5252.91  0.27   0.33
5254.12  0.32   0.33
5255.33  0.39   0.34
5256.54  0.43   0.35
5257.75  0.50   0.36
5258.96  0.65   0.36
5260.17  0.55   0.34
5261.38  0.34   0.33
5262.60  0.24   0.33
5263.81  0.16   0.33
5265.02  -0.04  0.32
5266.23  -0.39  0.32
5267.44  -0.52  0.31
5268.66  -0.35  0.32
5269.87  -0.22  0.32
5271.09  -0.14  0.32
5272.30  -0.07  0.32
5273.51  -0.12  0.32
5274.73  -0.18  0.32
5275.94  -0.05  0.33
5277.16  0.25   0.34
5278.37  0.51   0.35
5279.59  0.58   0.34
5280.80  0.54   0.33
5282.02  0.42   0.33
5283.24  0.24   0.33
5284.45  0.08   0.33
5285.67  0.01   0.33
5286.89  0.05   0.33
5288.10  0.09   0.33
5289.32  0.15   0.33
5290.54  0.20   0.33
5291.76  0.32   0.33
5292.98  0.46   0.33
5294.20  0.48   0.33
5295.41  0.56   0.34
5296.63  0.66   0.34
5297.85  0.47   0.34
5299.07  0.08   0.33
5300.29  0.15   0.33
5301.52  0.64   0.35
5302.74  0.97   0.34
5303.96  1.00   0.34
5305.18  0.72   0.34
5306.40  0.15   0.33
5307.62  -0.22  0.33
5308.84  -0.19  0.34
5310.07  -0.16  0.33
5311.29  -0.18  0.33
5312.51  -0.22  0.34
5313.74  -0.45  0.33
5314.96  -0.59  0.33
5316.18  -0.32  0.32
5317.41  0.15   0.32
5318.63  0.30   0.33
5319.86  0.11   0.31
5321.08  0.23   0.32
5322.31  0.77   0.33
5323.53  1.11   0.34
5324.76  1.09   0.34
5325.99  0.98   0.34
5327.21  0.73   0.34
5328.44  0.31   0.33
5329.67  -0.09  0.33
5330.89  -0.45  0.33
5332.12  -0.43  0.33
5333.35  0.21   0.34
5334.58  0.87   0.34
5335.81  1.15   0.34
5337.03  1.13   0.34
5338.26  0.85   0.34
5339.49  0.34   0.33
5340.72  -0.12  0.33
5341.95  -0.22  0.33
5343.18  0.12   0.33
5344.41  0.70   0.35
5345.64  0.98   0.34
5346.87  0.76   0.34
5348.11  0.43   0.33
5349.34  0.47   0.34
5350.57  0.59   0.36
5351.80  0.42   0.36
5353.03  0.15   0.34
5354.27  -0.05  0.34
5355.50  -0.12  0.33
5356.73  -0.02  0.34
5357.97  0.30   0.34
5359.20  0.61   0.34
5360.43  0.71   0.33
5361.67  0.58   0.33
5362.90  0.35   0.33
5364.14  0.20   0.33
5365.37  0.15   0.33
5366.61  0.26   0.33
5367.85  0.42   0.34
5369.08  0.36   0.34
5370.32  0.08   0.33
5371.55  -0.25  0.33
5372.79  -0.53  0.32
5374.03  -0.70  0.32
5375.27  -0.65  0.33
5376.50  -0.34  0.33
5377.74  0.01   0.34
5378.98  0.28   0.33
5380.22  0.49   0.33
5381.46  0.58   0.34
5382.70  0.38   0.33
5383.94  0.09   0.33
5385.18  0.12   0.32
5386.42  0.38   0.33
5387.66  0.46   0.34
5388.90  0.32   0.33
5390.14  0.23   0.33
5391.38  0.25   0.34
5392.62  0.17   0.34
5393.86  -0.08  0.34
5395.11  -0.38  0.33
5396.35  -0.56  0.32
5397.59  -0.62  0.32
5398.83  -0.62  0.31
5400.08  -0.38  0.32
5401.32  0.10   0.32
5402.57  0.41   0.34
5403.81  0.46   0.33
5405.05  0.46   0.34
5406.30  0.43   0.33
5407.54  0.33   0.33
5408.79  0.18   0.33
5410.03  -0.09  0.33
5411.28  -0.30  0.33
5412.53  -0.41  0.33
5413.77  -0.53  0.33
5415.02  -0.48  0.33
5416.27  -0.10  0.33
5417.51  0.24   0.34
5418.76  0.21   0.34
5420.01  0.15   0.33
5421.26  0.36   0.34
5422.51  0.60   0.34
5423.75  0.76   0.34
5425.00  0.83   0.34
5426.25  0.76   0.34
5427.50  0.68   0.34
5428.75  0.68   0.35
5430.00  0.51   0.34
5431.25  0.21   0.34
5432.50  0.04   0.34
5433.75  0.01   0.34
5435.01  0.10   0.34
5436.26  0.39   0.34
5437.51  0.73   0.36
5438.76  0.78   0.35
5440.01  0.76   0.35
5441.27  0.84   0.36
5442.52  0.72   0.36
5443.77  0.50   0.35
5445.03  0.38   0.36
5446.28  0.19   0.35
5447.53  -0.05  0.35
5448.79  -0.25  0.34
5450.04  -0.05  0.34
5451.30  0.50   0.35
5452.55  0.71   0.36
5453.81  0.52   0.34
5455.07  0.35   0.34
5456.32  0.24   0.34
5457.58  0.13   0.34
5458.84  0.14   0.37
5460.09  0.41   0.43
5461.35  0.86   0.53
5462.61  1.12   0.56
5463.87  0.84   0.49
5465.12  0.26   0.40
5466.38  -0.05  0.36
5467.64  -0.11  0.35
5468.90  -0.05  0.35
5470.16  0.17   0.34
5471.42  0.39   0.35
5472.68  0.52   0.35
5473.94  0.56   0.35
5475.20  0.34   0.35
5476.46  -0.12  0.33
5477.72  -0.43  0.33
5478.98  -0.39  0.33
5480.24  -0.06  0.34
5481.51  0.30   0.34
5482.77  0.63   0.34
5484.03  0.93   0.36
5485.30  0.91   0.36
5486.56  0.62   0.35
5487.82  0.36   0.34
5489.09  0.30   0.34
5490.35  0.44   0.34
5491.61  0.56   0.35
5492.88  0.55   0.34
5494.14  0.55   0.34
5495.41  0.52   0.34
5496.67  0.45   0.34
5497.94  0.41   0.34
5499.21  0.37   0.34
5500.47  0.39   0.35
5501.74  0.48   0.34
5503.01  0.59   0.35
5504.27  0.69   0.34
5505.54  0.80   0.35
5506.81  0.84   0.35
5508.08  0.81   0.36
5509.35  0.76   0.36
5510.61  0.71   0.36
5511.88  0.63   0.37
5513.15  0.38   0.36
5514.42  0.16   0.36
5515.69  0.18   0.37
5516.96  0.12   0.37
5518.23  -0.02  0.36
5519.50  -0.11  0.35
5520.77  -0.17  0.35
5522.05  -0.17  0.35
5523.32  -0.11  0.35
5524.59  -0.04  0.34
5525.86  0.13   0.34
5527.13  0.44   0.34
5528.41  0.66   0.35
5529.68  0.65   0.34
5530.95  0.64   0.34
5532.23  0.65   0.35
5533.50  0.41   0.35
5534.78  0.06   0.33
5536.05  0.05   0.34
5537.32  0.20   0.34
5538.60  0.27   0.34
5539.88  0.23   0.34
5541.15  0.13   0.34
5542.43  0.12   0.35
5543.70  0.13   0.36
5544.98  0.00   0.36
5546.26  0.04   0.36
5547.53  0.18   0.36
5548.81  0.20   0.35
5550.09  0.26   0.35
5551.37  0.35   0.35
5552.65  0.46   0.35
5553.92  0.66   0.34
5555.20  0.79   0.35
5556.48  0.68   0.34
5557.76  0.54   0.35
5559.04  0.37   0.34
5560.32  0.13   0.34
5561.60  0.05   0.33
5562.88  0.28   0.35
5564.17  0.53   0.37
5565.45  0.65   0.38
5566.73  0.67   0.37
5568.01  0.66   0.35
5569.29  0.87   0.35
5570.57  1.20   0.37
5571.86  1.26   0.36
5573.14  0.64   0.38
5574.42  -1.23  0.44
5575.71  -2.20  0.71
5576.99  -0.09  1.77
5578.28  3.06   2.99
5579.56  4.45   3.12
5580.85  3.09   1.70
5582.13  0.71   0.68
5583.42  -0.15  0.41
5584.70  0.33   0.40
5585.99  0.68   0.35
5587.27  0.80   0.35
5588.56  0.83   0.36
5589.85  0.72   0.37
5591.14  0.58   0.37
5592.42  0.59   0.36
5593.71  0.72   0.35
5595.00  0.87   0.35
5596.29  0.98   0.35
5597.58  0.85   0.36
5598.87  0.37   0.36
5600.15  -0.01  0.35
5601.44  -0.04  0.34
5602.73  0.06   0.34
5604.02  0.34   0.35
5605.31  0.80   0.37
5606.61  0.99   0.39
5607.90  0.68   0.37
5609.19  0.25   0.35
5610.48  0.12   0.35
5611.77  0.25   0.34
5613.06  0.45   0.34
5614.36  0.46   0.34
5615.65  0.32   0.34
5616.94  0.18   0.34
5618.24  0.11   0.35
5619.53  0.15   0.35
5620.82  0.25   0.34
5622.12  0.58   0.34
5623.41  0.98   0.37
5624.71  1.00   0.37
5626.00  0.78   0.37
5627.30  0.58   0.35
5628.60  0.51   0.35
5629.89  0.45   0.34
5631.19  0.36   0.34
5632.48  0.36   0.34
5633.78  0.41   0.34
5635.08  0.49   0.34
5636.38  0.51   0.34
5637.67  0.47   0.34
5638.97  0.58   0.34
5640.27  0.64   0.36
5641.57  0.52   0.35
5642.87  0.42   0.35
5644.17  0.30   0.35
5645.47  0.22   0.35
5646.77  0.39   0.37
5648.07  0.58   0.36
5649.37  0.55   0.35
5650.67  0.48   0.35
5651.97  0.50   0.34
5653.27  0.59   0.35
5654.58  0.67   0.35
5655.88  0.67   0.35
5657.18  0.60   0.35
5658.48  0.44   0.34
5659.79  0.39   0.35
5661.09  0.43   0.35
5662.39  0.41   0.35
5663.70  0.38   0.35
5665.00  0.43   0.36
5666.31  0.45   0.36
5667.61  0.49   0.36
5668.92  0.48   0.37
5670.22  0.45   0.37
5671.53  0.69   0.39
5672.83  1.06   0.40
5674.14  1.21   0.40
5675.45  1.09   0.39
5676.75  0.90   0.39
5678.06  0.64   0.38
5679.37  0.45   0.38
5680.68  0.46   0.39
5681.98  0.51   0.40
5683.29  0.32   0.43
5684.60  0.01   0.46
5685.91  0.03   0.47
5687.22  0.43   0.48
5688.53  0.92   0.49
5689.84  1.00   0.50
5691.15  0.76   0.50
5692.46  0.68   0.48
5693.77  0.66   0.46
5695.08  0.62   0.43
5696.39  0.71   0.41
5697.71  0.81   0.40
5699.02  0.83   0.40
5700.33  0.66   0.40
5701.64  0.46   0.39
5702.96  0.30   0.39
5704.27  0.23   0.37
5705.58  0.48   0.37
5706.90  0.79   0.38
5708.21  0.80   0.37
5709.53  0.67   0.37
5710.84  0.56   0.38
5712.16  0.41   0.37
5713.47  0.31   0.38
5714.79  0.29   0.38
5716.10  0.26   0.37
5717.42  0.33   0.36
5718.74  0.52   0.37
5720.05  0.51   0.38
5721.37  0.30   0.37
5722.69  0.11   0.37
5724.01  0.04   0.36
5725.32  0.24   0.37
5726.64  0.59   0.38
5727.96  0.66   0.37
5729.28  0.38   0.37
5730.60  0.14   0.35
5731.92  0.14   0.36
5733.24  0.24   0.36
5734.56  0.47   0.36
5735.88  0.67   0.37
5737.20  0.60   0.36
5738.52  0.49   0.36
5739.84  0.38   0.36
5741.16  0.32   0.36
5742.49  0.34   0.36
5743.81  0.24   0.36
5745.13  -0.01  0.36
5746.45  -0.22  0.35
5747.78  -0.23  0.35
5749.10  -0.06  0.35
5750.43  0.10   0.35
5751.75  0.16   0.35
5753.07  0.24   0.35
5754.40  0.43   0.36
5755.72  0.63   0.36
5757.05  0.59   0.37
5758.38  0.34   0.36
5759.70  0.13   0.36
5761.03  0.08   0.36
5762.35  0.04   0.36
5763.68  0.19   0.36
5765.01  0.54   0.37
5766.34  0.83   0.38
5767.66  0.94   0.41
5768.99  0.73   0.41
5770.32  0.41   0.44
5771.65  0.25   0.44
5772.98  0.22   0.43
5774.31  0.06   0.39
5775.64  -0.12  0.37
5776.97  0.08   0.36
5778.30  0.56   0.38
5779.63  0.80   0.37
5780.96  0.72   0.37
5782.29  0.49   0.36
5783.62  0.33   0.37
5784.96  0.36   0.37
5786.29  0.40   0.37
5787.62  0.36   0.38
5788.95  0.31   0.40
5790.29  0.33   0.43
5791.62  0.35   0.43
5792.95  0.32   0.43
5794.29  0.20   0.41
5795.62  -0.05  0.39
5796.96  -0.22  0.37
5798.29  -0.01  0.38
5799.63  0.27   0.38
5800.96  0.30   0.38
5802.30  0.26   0.37
5803.63  0.35   0.38
5804.97  0.39   0.38
5806.31  0.29   0.38
5807.64  0.20   0.38
5808.98  0.18   0.37
5810.32  0.26   0.38
5811.66  0.32   0.38
5813.00  0.26   0.38
5814.33  0.22   0.38
5815.67  0.11   0.38
5817.01  -0.12  0.37
5818.35  -0.13  0.37
5819.69  0.06   0.38
