# wave  flux  flux_err
      3550.00 -4.41483e-21  1.20695e-18
      3555.00 -8.28244e-19  1.19418e-18
      3560.00 -4.22763e-19  1.16795e-18
      3565.00  4.57935e-19  1.13464e-18
      3570.00 -8.90259e-20  1.11801e-18
      3575.00 -1.58783e-18  1.12177e-18
      3580.00  2.44055e-19  1.12996e-18
      3585.00 -1.09362e-18  1.13069e-18
      3590.00 -1.58978e-19  1.15151e-18
      3595.00  9.38569e-19  1.19118e-18
      3600.00 -1.23013e-18  1.19836e-18
      3605.00  1.55794e-18  1.21041e-18
      3610.00 -7.64779e-19  1.19926e-18
      3615.00 -5.32057e-19  1.21687e-18
      3620.00 -2.03590e-19  1.19276e-18
      3625.00 -1.62113e-18  1.15624e-18
      3630.00 -4.08034e-19  1.11510e-18
      3635.00 -4.24382e-19  1.06460e-18
      3640.00 -1.84955e-18  1.00085e-18
      3645.00 -1.88561e-18  9.21656e-19
      3650.00 -5.76669e-19  8.66435e-19
      3655.00 -1.58997e-18  8.46286e-19
      3660.00  1.77053e-19  8.03342e-19
      3665.00 -1.70447e-18  7.21368e-19
      3670.00 -4.11558e-20  6.79791e-19
      3675.00 -2.20504e-19  6.40377e-19
      3680.00 -4.03458e-19  5.89065e-19
      3685.00 -8.71110e-19  5.56327e-19
      3690.00 -4.15401e-19  5.38132e-19
      3695.00 -3.86899e-19  5.18091e-19
      3700.00 -8.62865e-19  5.18079e-19
      3705.00 -4.46074e-19  4.93490e-19
      3710.00 -2.89238e-20  4.80601e-19
      3715.00 -7.58074e-19  4.68125e-19
      3720.00 -7.70481e-19  4.33917e-19
      3725.00 -6.36498e-19  4.62006e-19
      3730.00 -3.47318e-19  4.54289e-19
      3735.00 -1.34057e-19  4.32462e-19
      3740.00 -3.04004e-19  4.49855e-19
      3745.00  1.64425e-19  4.36327e-19
      3750.00 -4.35220e-19  4.29184e-19
      3755.00 -7.11170e-19  4.60225e-19
      3760.00 -7.29330e-19  4.41550e-19
      3765.00 -7.58481e-19  4.51340e-19
      3770.00 -1.29351e-19  4.65158e-19
      3775.00 -7.31671e-19  4.73452e-19
      3780.00 -3.34652e-19  4.87484e-19
      3785.00 -9.42180e-19  4.96240e-19
      3790.00 -4.35603e-19  5.14189e-19
