# wave  flux  flux_err
      3550.00  1.43015e-18  1.54182e-18
      3551.00 -1.15175e-18  1.48034e-18
      3552.00 -8.77157e-19  1.46058e-18
      3553.00 -1.29828e-19  1.54873e-18
      3554.00 -3.37137e-18  1.52490e-18
      3555.00  8.67416e-19  1.50399e-18
      3556.00 -1.85720e-19  1.53929e-18
      3557.00 -1.90639e-18  1.40910e-18
      3558.00  2.55977e-19  1.55379e-18
      3559.00 -4.93542e-19  1.44071e-18
      3560.00 -1.51478e-18  1.36883e-18
      3561.00 -2.23012e-18  1.48332e-18
      3562.00 -7.62280e-19  1.39905e-18
      3563.00 -1.58671e-18  1.39485e-18
      3564.00 -1.28837e-18  1.49278e-18
      3565.00 -2.42021e-18  1.32604e-18
      3566.00 -2.51224e-18  1.32206e-18
      3567.00 -2.45351e-18  1.36090e-18
      3568.00  6.54857e-19  1.49093e-18
      3569.00 -1.42072e-19  1.38250e-18
      3570.00 -1.53641e-18  1.33520e-18
      3571.00 -2.54977e-18  1.33164e-18
      3572.00 -2.37698e-18  1.37797e-18
      3573.00 -1.62337e-18  1.42578e-18
      3574.00 -3.70277e-20  1.36322e-18
      3575.00  2.84511e-19  1.37909e-18
      3576.00 -2.66244e-19  1.39119e-18
      3577.00 -1.72467e-18  1.39806e-18
      3578.00 -6.82589e-19  1.39397e-18
      3579.00 -1.02484e-18  1.40791e-18
      3580.00 -5.02276e-19  1.37114e-18
      3581.00 -1.75002e-18  1.33547e-18
      3582.00 -8.45565e-19  1.37486e-18
      3583.00 -1.25512e-18  1.42170e-18
      3584.00 -1.16931e-18  1.38412e-18
      3585.00 -3.76844e-19  1.37906e-18
      3586.00 -1.22860e-18  1.37250e-18
      3587.00 -1.89546e-18  1.38345e-18
      3588.00 -1.84290e-18  1.38131e-18
      3589.00 -6.53355e-20  1.42674e-18
      3590.00 -8.54719e-19  1.43175e-18
      3591.00 -1.08083e-18  1.43574e-18
      3592.00  7.11079e-20  1.47629e-18
      3593.00 -9.89161e-19  1.43558e-18
      3594.00  3.77882e-19  1.47659e-18
      3595.00 -6.44524e-19  1.45688e-18
      3596.00 -1.27928e-18  1.47421e-18
      3597.00 -9.50792e-19  1.47893e-18
      3598.00 -6.05200e-19  1.49821e-18
      3599.00 -6.33377e-19  1.50966e-18
      3600.00 -1.22603e-18  1.49686e-18
      3601.00 -2.78964e-18  1.48029e-18
      3602.00 -2.20230e-18  1.48753e-18
      3603.00 -1.63809e-18  1.52348e-18
      3604.00 -1.97544e-18  1.52406e-18
      3605.00 -1.05727e-18  1.51309e-18
      3606.00 -9.89944e-20  1.54863e-18
      3607.00  1.08084e-18  1.56940e-18
      3608.00 -3.87689e-18  1.52680e-18
      3609.00 -1.41196e-18  1.53645e-18
      3610.00 -1.47948e-18  1.55946e-18
      3611.00 -8.28127e-19  1.58823e-18
      3612.00 -1.51963e-18  1.57989e-18
      3613.00 -5.35893e-19  1.59881e-18
      3614.00 -1.02870e-18  1.58277e-18
      3615.00 -5.87098e-19  1.63645e-18
      3616.00 -2.78666e-19  1.69820e-18
      3617.00 -5.23426e-19  1.68141e-18
      3618.00 -1.20361e-18  1.66794e-18
      3619.00  1.90169e-19  1.67479e-18
      3620.00 -3.03654e-18  1.63842e-18
      3621.00 -3.09450e-18  1.64724e-18
      3622.00  9.53890e-19  1.70657e-18
      3623.00  6.69768e-19  1.69774e-18
      3624.00 -8.37192e-19  1.66362e-18
      3625.00 -3.54080e-19  1.64265e-18
      3626.00 -1.20394e-18  1.68556e-18
      3627.00 -1.49237e-18  1.67195e-18
      3628.00 -2.42089e-19  1.67849e-18
      3629.00 -2.41214e-18  1.65427e-18
      3630.00  8.57289e-20  1.70707e-18
      3631.00 -7.73935e-19  1.66702e-18
      3632.00  1.14337e-18  1.71564e-18
      3633.00 -1.48163e-18  1.66306e-18
      3634.00 -3.17212e-18  1.67566e-18
      3635.00 -2.73194e-18  1.65376e-18
      3636.00 -1.89903e-18  1.67874e-18
      3637.00 -9.02408e-19  1.64414e-18
      3638.00 -2.43081e-18  1.65761e-18
      3639.00 -1.67815e-18  1.61687e-18
      3640.00 -8.55738e-19  1.63060e-18
      3641.00  5.44698e-19  1.64710e-18
      3642.00  3.00878e-19  1.63130e-18
      3643.00 -2.42763e-18  1.59114e-18
      3644.00 -1.28571e-18  1.56741e-18
      3645.00 -1.97662e-18  1.56181e-18
      3646.00 -2.66142e-19  1.58518e-18
      3647.00  1.12231e-18  1.54407e-18
      3648.00  1.23606e-18  1.51846e-18
      3649.00  1.07752e-18  1.53381e-18
      3650.00 -1.71235e-18  1.48566e-18
      3651.00 -2.26725e-18  1.46723e-18
      3652.00 -1.32393e-18  1.46747e-18
      3653.00  3.41796e-19  1.65377e-18
      3654.00 -2.29212e-18  1.61887e-18
      3655.00  1.19779e-19  1.60889e-18
      3656.00 -3.22606e-19  1.56207e-18
      3657.00 -1.05565e-20  1.55100e-18
      3658.00  1.92931e-18  1.56659e-18
      3659.00 -1.25122e-18  1.52553e-18
      3660.00 -1.71625e-18  1.47935e-18
      3661.00 -1.42209e-18  1.45074e-18
      3662.00 -2.22239e-19  1.44835e-18
      3663.00 -3.96212e-19  1.42710e-18
      3664.00 -9.83189e-19  1.36608e-18
      3665.00 -1.35806e-18  1.36157e-18
      3666.00 -1.80468e-18  1.34335e-18
      3667.00 -7.32335e-19  1.30679e-18
      3668.00 -5.79841e-19  1.30355e-18
      3669.00 -1.07168e-18  1.26749e-18
      3670.00 -3.21223e-19  1.26862e-18
      3671.00  1.21699e-20  1.25412e-18
      3672.00  1.61122e-19  1.25435e-18
      3673.00 -8.24361e-19  1.22500e-18
      3674.00 -3.55410e-18  1.17618e-18
      3675.00 -1.04118e-18  1.17102e-18
      3676.00 -1.48782e-18  1.15595e-18
      3677.00 -1.53168e-18  1.12376e-18
      3678.00  4.74724e-19  1.14956e-18
      3679.00 -8.21388e-19  1.12704e-18
      3680.00 -2.53390e-19  1.10550e-18
      3681.00 -3.22920e-19  1.10407e-18
      3682.00 -1.20986e-18  1.06132e-18
      3683.00 -2.42924e-18  1.03475e-18
      3684.00 -1.56448e-18  1.06291e-18
      3685.00 -1.10965e-18  1.03925e-18
      3686.00 -6.28314e-19  1.03003e-18
      3687.00 -8.37072e-19  1.02467e-18
      3688.00 -3.92330e-19  1.01511e-18
      3689.00  8.28559e-19  1.02584e-18
      3690.00 -5.84253e-19  1.01632e-18
      3691.00 -1.68086e-18  1.00183e-18
      3692.00 -2.22527e-18  9.71482e-19
      3693.00 -1.01900e-18  9.73395e-19
      3694.00  2.50130e-19  9.82450e-19
      3695.00 -2.04330e-20  9.69293e-19
      3696.00 -1.26704e-18  9.41389e-19
      3697.00  1.00482e-18  9.72233e-19
      3698.00 -1.53060e-18  9.95654e-19
      3699.00 -5.17804e-19  1.00581e-18
      3700.00 -1.36445e-18  9.74036e-19
      3701.00  2.54137e-19  9.84731e-19
      3702.00 -1.32942e-18  9.47985e-19
      3703.00 -7.23042e-19  9.64322e-19
      3704.00 -3.95260e-19  9.47673e-19
      3705.00 -4.95394e-19  9.41019e-19
      3706.00 -6.43572e-19  9.05545e-19
      3707.00  1.13085e-18  9.51125e-19
      3708.00 -1.93386e-18  8.94124e-19
      3709.00  7.97513e-19  9.11149e-19
      3710.00  1.39386e-18  9.41904e-19
      3711.00 -2.66366e-18  8.77943e-19
