# wave  flux  flux_err
      11030.0  4.91341e-19  2.43548e-19
      11076.5  4.68102e-19  2.14061e-19
      11123.0  6.53467e-19  2.08021e-19
      11169.5  4.24912e-19  1.83935e-19
      11216.0  4.38769e-19  2.18830e-19
      11262.5  3.15857e-19  1.97087e-19
      11309.0  3.27544e-19  1.69065e-19
      11355.5  5.40782e-19  1.66326e-19
      11402.0  7.48798e-19  1.70931e-19
      11448.5  6.82960e-19  1.69274e-19
      11495.0  6.21757e-19  1.58609e-19
      11541.5  4.44874e-19  1.56674e-19
      11588.0  4.94220e-19  1.56139e-19
      11634.5  5.47851e-19  1.55241e-19
      11681.0  6.41513e-19  1.63475e-19
      11727.5  6.48064e-19  1.47037e-19
      11774.0  5.80667e-19  1.43982e-19
      11820.5  6.09216e-19  1.42590e-19
      11867.0  6.41680e-19  1.55525e-19
      11913.5  7.15736e-19  1.47462e-19
      11960.0  6.34646e-19  1.35048e-19
      12006.5  6.28348e-19  1.32503e-19
      12053.0  7.28195e-19  1.30639e-19
      12099.5  7.05843e-19  1.28559e-19
      12146.0  7.02465e-19  1.28211e-19
      12192.5  5.73875e-19  1.27059e-19
      12239.0  5.34774e-19  1.38185e-19
      12285.5  6.38546e-19  1.27264e-19
      12332.0  5.89066e-19  1.31074e-19
      12378.5  3.15608e-19  1.22823e-19
      12425.0  6.01245e-19  1.43881e-19
      12471.5  6.28962e-19  1.52765e-19
      12518.0  5.18164e-19  1.32847e-19
      12564.5  6.33351e-19  2.01661e-19
      12611.0  6.42506e-19  1.24146e-19
      12657.5  5.99978e-19  1.22218e-19
      12704.0  5.14000e-19  1.29837e-19
      12750.5  3.94308e-19  1.12309e-19
      12797.0  6.08507e-19  1.10865e-19
      12843.5  4.01404e-19  1.21293e-19
      12890.0  5.11420e-19  1.09226e-19
      12936.5  4.78390e-19  1.08475e-19
      12983.0  4.83131e-19  1.33427e-19
      13029.5  4.76634e-19  1.05844e-19
      13076.0  6.08377e-19  1.05082e-19
      13122.5  4.44460e-19  1.05186e-19
      13169.0  4.18811e-19  1.02110e-19
      13215.5  4.99150e-19  1.01783e-19
      13262.0  4.53972e-19  1.00931e-19
      13308.5  5.54913e-19  1.00706e-19
      13355.0  6.04615e-19  1.00287e-19
      13401.5  9.80854e-19  1.00046e-19
      13448.0  4.63237e-19  9.80969e-20
      13494.5  4.28574e-19  9.69110e-20
      13541.0  5.43771e-19  9.65010e-20
      13587.5  5.17497e-19  9.85654e-20
      13634.0  5.36866e-19  9.69203e-20
      13680.5  4.94108e-19  9.60454e-20
      13727.0  4.38104e-19  9.61178e-20
      13773.5  3.98433e-19  9.60819e-20
      13820.0  4.84282e-19  9.72705e-20
      13866.5  5.35531e-19  1.07086e-19
